GeneID	ExpectedReadCount	TPM
Gene00281	25.01	4.61
Gene00282	37.91	1.32
Gene00283	0.92	9.77
Gene00284	4.08	1.63
Gene00285	0	0
Gene00286	3.68	1.71
Gene00287	0	0
Gene00288	13.68	3.66
Gene00289	0.32	0.18
Gene00290	3	0.63
Gene00291	0	0
Gene00292	0	0
Gene00293	0	0
Gene00294	74.56	54.31
Gene00295	0	0
Gene00296	594.12	125.77
Gene00297	0	0
Gene00298	2	0.17
Gene00299	2	0.5
Gene00300	0	0
Gene00301	0	0
Gene00302	0	0
Gene00303	1.57	0.46
Gene00304	2	0.39
Gene00305	0	0
Gene00306	0	0
Gene00307	0	0
Gene00308	0	0
Gene00309	1	0.05
Gene00310	0	0
Gene00311	0	0
Gene00312	21	17.73
Gene00313	4.54	0.6
Gene00314	0	0
Gene00315	1.68	2.46
Gene00316	0.46	0.67
Gene00317	0.96	0.16
Gene00318	0	0
Gene00319	0	0
Gene00320	8.29	0.55
Gene00321	5.06	0.63
Gene00322	0	0
Gene00323	0	0
Gene00324	0	0
Gene00325	38	7.05
Gene00326	26	4.91
Gene00327	0	0
Gene00328	79.85	3.64
Gene00329	1	0.27
Gene00330	0	0
Gene00331	6.5	0.89
Gene00332	0	0
Gene00333	0	0
Gene00334	8.09	1.33
Gene00335	0	0
Gene00336	0	0
Gene00337	2	0.31
Gene00338	0	0
Gene00339	0	0
Gene00340	0	0
Gene00341	0	0
Gene00342	2	1.82
Gene00343	7.37	2.07
Gene00344	1.08	1.02
Gene00345	25.46	1.03
Gene00346	0	0
Gene00347	0	0
Gene00348	0	0
Gene00349	0	0
Gene00350	0	0
Gene00351	0	0
Gene00352	0	0
Gene00353	0	0
Gene00354	0	0
Gene00355	5.86	1.63
Gene00356	34.14	5.41
Gene00357	15	3.51
Gene00358	10	2.51
Gene00359	26.11	11.36
Gene00360	2.89	3.52
Gene00361	0	0
Gene00362	0	0
Gene00363	0	0
Gene00364	175	3.16
Gene00365	140.1	7.93
Gene00366	0	0
Gene00367	0	0
Gene00368	263	43.57
Gene00369	0	0
Gene00370	0	0
Gene00371	442	44.81
Gene00372	13	4.54
Gene00373	16	10.94
Gene00374	203	7.43
Gene00375	0	0
Gene00376	3	0.63
Gene00377	3	0.62
Gene00378	35	3.79
Gene00379	25	12.66
Gene00380	694.53	49.45
Gene00381	3	0.53
Gene00382	0	0
Gene00383	3380	93.75
Gene00384	114	12.42
Gene00385	1023	34.11
Gene00386	42	8.06
Gene00387	25	3.51
Gene00388	380	66.63
Gene00389	682	48.62
Gene00390	346.46	42.92
Gene00391	0	0
Gene00392	0	0
Gene00393	15	0.41
Gene00394	0	0
Gene00395	0	0
Gene00396	584	14.3
Gene00397	89	26.93
Gene00398	343	31.88
Gene00399	117	14.53
Gene00400	42	2.49
Gene00401	0	0
Gene00402	10.5	0.66
Gene00403	0	0
Gene00404	0	0
Gene00405	1	3.29
Gene00406	0	0
Gene00407	0	0
Gene00408	0	0
Gene00409	862	30.81
Gene00410	4968	220.18
Gene00411	14	9.11
Gene00412	59	3.18
Gene00413	0	0
Gene00414	46	1.84
Gene00415	7	1.41
Gene00416	6	0.91
Gene00417	24	9.07
Gene00418	33	7.82
Gene00419	1	7.76
Gene00420	364	25.1
Gene00421	0	0
Gene00422	302.29	12.02
Gene00423	344.71	7.94
Gene00424	2	0.2
Gene00425	80	4.09
Gene00426	0	0
Gene00427	181	12.6
Gene00428	0	0
Gene00429	70	17.38
Gene00430	111	10.49
Gene00431	5	0.31
Gene00432	0	0
Gene00433	949	18.24
Gene00434	325.12	20.37
Gene00435	0	0
Gene00436	86.88	14.48
Gene00437	0	0
Gene00438	5	0.92
Gene00439	0	0
Gene00440	204	20.15
Gene00441	5	2.22
Gene00442	833	40
Gene00443	30	1.35
Gene00444	252	13.2
Gene00445	0	0
Gene00446	12.01	1.76
Gene00447	11.95	1.17
Gene00448	5.03	0.26
Gene00449	122	38.09
Gene00450	784.97	28.06
Gene00451	28	4.91
Gene00452	59	5.09
Gene00453	0	0
Gene00454	56.98	5.75
Gene00455	99.02	12.11
Gene00456	12	2.93
Gene00457	148	10.21
Gene00458	101	27.55
Gene00459	0	0
Gene00460	0	0
Gene00461	0	0
Gene00462	0	0
Gene00463	0	0
Gene00464	0	0
Gene00465	109	12.01
Gene00466	95	20.18
Gene00467	100	28.07
Gene00468	5	0.37
Gene00469	655	43.84
Gene00470	0	0
Gene00471	0	0
Gene00472	10.97	2.1
Gene00473	80	12.99
Gene00474	0	0
Gene00475	45	33.87
Gene00476	394	65.47
Gene00477	110	26.62
Gene00478	38	1.58
Gene00479	0	0
Gene00480	539	16.96
Gene00481	0	0
Gene00482	70	4.11
Gene00483	166	39.02
Gene00484	78	13.93
Gene00485	26	7.19
Gene00486	97	16.31
Gene00487	0	0
Gene00488	1	0.31
Gene00489	0	0
Gene00490	25	2.27
Gene00491	479	68.25
Gene00492	146	13.44
Gene00493	65	4.68
Gene00494	0	0
Gene00495	13.08	6.68
Gene00496	3112.94	41.37
Gene00497	322.99	28.22
Gene00498	19	2.35
Gene00499	45	16.49
Gene00500	12	3.81
Gene00501	63	5.23
Gene00502	1	0.49
Gene00503	53	11.02
Gene00504	445	27.73
Gene00505	0	0
Gene00506	0	0
Gene00507	178	9.62
Gene00508	0	0
Gene00509	0	0
Gene00510	93	14.1
Gene00511	0	0
Gene00512	8	0.62
Gene00513	691	66.17
Gene00514	0	0
Gene00515	86	13.36
Gene00516	13	3.67
Gene00517	8	1.36
Gene00518	0	0
Gene00519	130	16
Gene00520	0	0
Gene00521	11	2.21
Gene00522	0	0
Gene00523	2	0.18
Gene00524	39	3.52
Gene00525	125	20.41
Gene00526	522	12.95
Gene00527	208.73	9.42
Gene00528	140.27	8.53
Gene00529	655	17.6
Gene00530	55	12.77
Gene00531	0	0
Gene00532	309	6.1
Gene00533	0	0
Gene00534	0	0
Gene00535	104	4.4
Gene00536	0	0
Gene00537	618	20.53
