GeneID	ExpectedReadCount	TPM
Gene00281	22.12	4.79
Gene00282	59.17	2.42
Gene00283	0	0
Gene00284	2	0.94
Gene00285	0	0
Gene00286	4.1	2.25
Gene00287	0	0
Gene00288	10.6	3.33
Gene00289	1.4	0.96
Gene00290	2	0.49
Gene00291	0	0
Gene00292	2	0.44
Gene00293	0	0
Gene00294	61.54	53.89
Gene00295	0	0
Gene00296	618.55	153.68
Gene00297	0	0
Gene00298	5	0.51
Gene00299	0	0
Gene00300	0	0
Gene00301	0	0
Gene00302	0.96	0.18
Gene00303	1.63	0.57
Gene00304	0	0
Gene00305	0	0
Gene00306	0	0
Gene00307	0	0
Gene00308	0	0
Gene00309	1	0.06
Gene00310	0	0
Gene00311	17	3.08
Gene00312	37	37.9
Gene00313	1.82	0.28
Gene00314	0	0
Gene00315	0	0
Gene00316	0	0
Gene00317	0	0
Gene00318	0	0
Gene00319	6	0.81
Gene00320	0	0
Gene00321	0	0
Gene00322	0	0
Gene00323	0	0
Gene00324	0	0
Gene00325	35	7.63
Gene00326	41	9.08
Gene00327	0	0
Gene00328	94.15	5.05
Gene00329	2	0.63
Gene00330	0	0
Gene00331	14.5	2.32
Gene00332	0	0
Gene00333	0	0
Gene00334	8.78	1.69
Gene00335	0	0
Gene00336	0	0
Gene00337	4	0.74
Gene00338	4	0.19
Gene00339	2.85	0.39
Gene00340	0	0
Gene00341	0	0
Gene00342	4	4.44
Gene00343	5.84	1.92
Gene00344	0	0
Gene00345	37.5	1.78
Gene00346	0	0
Gene00347	0	0
Gene00348	0	0
Gene00349	0	0
Gene00350	0	0
Gene00351	0	0
Gene00352	0	0
Gene00353	0	0
Gene00354	0	0
Gene00355	0	0
Gene00356	23	4.28
Gene00357	20	5.49
Gene00358	9	2.66
Gene00359	27.74	14.23
Gene00360	7.26	11.08
Gene00361	1.83	0.27
Gene00362	0	0
Gene00363	0	0
Gene00364	116	2.47
Gene00365	90.44	6.03
Gene00366	0	0
Gene00367	0	0
Gene00368	192	37.37
Gene00369	0	0
Gene00370	0	0
Gene00371	321	38.3
Gene00372	26	10.67
Gene00373	17	13.93
Gene00374	138	5.96
Gene00375	0	0
Gene00376	0	0
Gene00377	1.22	0.3
Gene00378	26	3.31
Gene00379	15	8.99
