GeneID	ExpectedReadCount	TPM
Gene00001	0	0
Gene00002	0	0
Gene00003	224	32.56
Gene00004	0	0
Gene00005	807.35	90.3
Gene00006	15	1.74
Gene00007	0	0
Gene00008	0	0
Gene00009	17	2.56
Gene00010	10	6.68
Gene00011	15.75	1.92
Gene00012	17.24	0.71
Gene00013	8	1.65
Gene00014	0	0
Gene00015	83.02	1.74
Gene00016	0	0
Gene00017	1	0.08
Gene00018	17	1.87
Gene00019	27	8.62
Gene00020	0	0
Gene00021	126	28.71
Gene00022	0	0
Gene00023	0	0
Gene00024	0	0
Gene00025	5	1.18
Gene00026	0	0
Gene00027	0	0
Gene00028	165	18.5
Gene00029	98	7.91
Gene00030	7	1.52
Gene00031	0	0
Gene00032	0	0
Gene00033	0	0
Gene00034	225	23.68
Gene00035	0	0
Gene00036	654	11.01
Gene00037	4	1.58
Gene00038	104	9.22
Gene00039	29	0.81
Gene00040	220	11.84
Gene00041	8	3.49
Gene00042	0	0
Gene00043	68	3.32
Gene00044	224	15.73
Gene00045	26	3.17
Gene00046	0	0
Gene00047	0	0
Gene00048	467	20.94
Gene00049	50	7.85
Gene00050	70	2.66
Gene00051	0	0
Gene00052	45	6.09
Gene00053	64	4.57
Gene00054	0	0
Gene00055	92	15.72
Gene00056	5	4.08
Gene00057	0	0
Gene00058	110	5.43
Gene00059	53	6.76
Gene00060	0	0
Gene00061	0	0
Gene00062	54	16.42
Gene00063	29	2.44
Gene00064	7	0.43
Gene00065	0	0
Gene00066	25	0.87
Gene00067	1	0.27
Gene00068	496	12.64
Gene00069	36	14.48
Gene00070	0	0
Gene00071	32	2.76
Gene00072	0	0
Gene00073	0	0
Gene00074	0	0
Gene00075	0	0
Gene00076	2	0.18
Gene00077	0	0
Gene00078	2215	157.37
Gene00079	3	0.06
Gene00080	0	0
Gene00081	0	0
Gene00082	0	0
Gene00083	580	13.79
Gene00084	139	10.4
Gene00085	0	0
Gene00086	31	1.05
Gene00087	26	0.49
Gene00088	287	7.81
Gene00089	108	9.08
Gene00090	669	18.39
Gene00091	235	3.29
Gene00092	203	3.39
Gene00093	127	9.3
Gene00094	101	2.68
Gene00095	193	10.59
Gene00096	157	6.36
Gene00097	101	2.99
Gene00098	1090.07	59.13
Gene00099	3487.93	189.19
Gene00100	0	0
Gene00101	209.19	32.86
