GeneID	ExpectedReadCount	TPM
Gene00001	0	0
Gene00002	0	0
Gene00003	250	41.27
Gene00004	0	0
Gene00005	1309.71	165.84
Gene00006	24	3.15
Gene00007	0	0
Gene00008	0	0
Gene00009	8	1.37
Gene00010	5	3.87
Gene00011	7.69	1.06
Gene00012	15.82	0.74
Gene00013	15	3.53
Gene00014	1	0.24
Gene00015	118.49	2.78
Gene00016	0	0
Gene00017	0	0
Gene00018	29	3.61
Gene00019	56	20.55
Gene00020	0	0
Gene00021	140	36.47
Gene00022	0	0
Gene00023	0	0
Gene00024	0	0
Gene00025	7	1.88
Gene00026	0	0
Gene00027	0	0
Gene00028	195	24.76
Gene00029	109	9.93
Gene00030	7	1.74
Gene00031	0	0
Gene00032	1	1.32
Gene00033	0	0
Gene00034	331	39.41
Gene00035	0	0
Gene00036	900	16.99
Gene00037	11	5.01
Gene00038	146	14.61
Gene00039	34	1.06
Gene00040	207	12.54
Gene00041	8	4.03
Gene00042	0	0
Gene00043	114	6.26
Gene00044	271	21.46
Gene00045	36	4.98
Gene00046	0	0
Gene00047	0	0
Gene00048	553	27.88
Gene00049	62	11.07
Gene00050	86	3.67
Gene00051	0	0
Gene00052	37	5.68
Gene00053	76	6.12
Gene00054	0	0
Gene00055	104	20.23
Gene00056	14	13.26
Gene00057	0	0
Gene00058	116	6.45
Gene00059	47	6.8
Gene00060	0	0
Gene00061	0	0
Gene00062	53	18.5
Gene00063	33	3.13
Gene00064	7.86	0.54
Gene00065	0	0
Gene00066	48	1.88
Gene00067	2	0.62
Gene00068	751	21.49
Gene00069	58	26.89
Gene00070	0	0
Gene00071	54	5.25
Gene00072	0	0
Gene00073	0	0
Gene00074	0	0
Gene00075	0	0
Gene00076	2	0.21
Gene00077	2	0.25
Gene00078	5754	460.97
Gene00079	3	0.07
Gene00080	0	0
Gene00081	0	0
Gene00082	0	0
Gene00083	581	15.5
Gene00084	142	11.98
Gene00085	0	0
Gene00086	35	1.33
Gene00087	16	0.34
Gene00088	268	8.19
Gene00089	161	15.28
Gene00090	877	27.07
Gene00091	303	4.75
Gene00092	257	4.81
Gene00093	190	15.7
Gene00094	119	3.54
Gene00095	285	17.6
Gene00096	181	8.24
Gene00097	133	4.42
Gene00098	2428.54	148.29
Gene00099	5621.46	343.25
Gene00100	0	0
