GeneID	ExpectedReadCount	TPM
Gene00001	0	0
Gene00002	0	0
Gene00003	213	28.04
Gene00004	0	0
Gene00005	927.66	94.18
Gene00006	23	2.42
Gene00007	0	0
Gene00008	0	0
Gene00009	21	2.86
Gene00010	8	4.66
Gene00011	11.64	1.29
Gene00012	19.27	0.73
Gene00013	12	2.23
Gene00014	1	0.19
Gene00015	120.09	2.29
Gene00016	0	0
Gene00017	1	0.07
Gene00018	32	3.2
Gene00019	51	14.57
Gene00020	0	0
Gene00021	0	0
Gene00022	0	0
Gene00023	0	0
Gene00024	0	0
Gene00025	7	1.48
Gene00026	0	0
Gene00027	0	0
Gene00028	168	17.1
Gene00029	90	6.61
Gene00030	0	0
Gene00031	0	0
Gene00032	0	0
Gene00033	0	0
Gene00034	207	19.78
Gene00035	0	0
Gene00036	564	8.67
Gene00037	7	2.46
Gene00038	116	9.34
Gene00039	16	0.41
Gene00040	267	13.1
Gene00041	3	1.16
Gene00042	0	0
Gene00043	92	4.1
Gene00044	203	12.98
Gene00045	33	3.65
Gene00046	0	0
Gene00047	0	0
Gene00048	543	22.19
Gene00049	35	4.98
Gene00050	72	2.49
Gene00051	0	0
Gene00052	19	2.33
Gene00053	38	2.47
Gene00054	0	0
Gene00055	133	20.55
Gene00056	8	5.63
Gene00057	0	0
Gene00058	81	3.65
Gene00059	56	6.48
Gene00060	0	0
Gene00061	0	0
Gene00062	52	14.16
Gene00063	23	1.76
Gene00064	4	0.22
Gene00065	0	0
Gene00066	27	0.86
Gene00067	0	0
Gene00068	426	9.91
Gene00069	25	8.94
Gene00070	1	0.04
Gene00071	30	2.35
Gene00072	0	0
Gene00073	0	0
Gene00074	0	0
Gene00075	0	0
Gene00076	0	0
Gene00077	0	0
Gene00078	4502	291.12
Gene00079	1	0.02
Gene00080	0	0
Gene00081	0	0
Gene00082	0	0
Gene00083	821	17.82
Gene00084	122	8.3
Gene00085	0	0
Gene00086	37	1.14
Gene00087	8	0.14
Gene00088	190	4.72
Gene00089	207	15.83
Gene00090	686	17.21
Gene00091	224	2.86
Gene00092	202	3.08
Gene00093	175	11.66
Gene00094	109	2.64
Gene00095	309	15.45
Gene00096	144	5.32
Gene00097	120	3.24
Gene00098	2060.43	101.83
Gene00099	5483.57	271
Gene00100	0	0
Gene00101	184.71	26.26
