GeneID	ExpectedReadCount	TPM
Gene00281	24.91	4.05
Gene00282	40.94	1.28
Gene00283	0	0
Gene00284	1	0.35
Gene00285	0	0
Gene00286	5.84	2.36
Gene00287	0	0
Gene00288	29.98	7.03
Gene00289	0.02	0.01
Gene00290	11.59	2.13
Gene00291	1.34	1.71
Gene00292	3	0.49
Gene00293	0	0
Gene00294	181.95	115.48
Gene00295	4.52	1.41
Gene00296	1038.76	193.48
Gene00297	0	0
Gene00298	15	1.15
Gene00299	3	0.66
Gene00300	0	0
Gene00301	7.46	0.99
Gene00302	13.18	1.85
Gene00303	0	0
Gene00304	0	0
Gene00305	0	0
Gene00306	0	0
Gene00307	0	0
Gene00308	0	0
Gene00309	1	0.05
Gene00310	0	0
Gene00311	17.89	2.44
Gene00312	19	14.03
Gene00313	11.75	1.39
Gene00314	3.6	0.49
Gene00315	0	0
Gene00316	1.33	1.75
Gene00317	0.57	0.08
Gene00318	0	0
Gene00319	4.25	0.43
Gene00320	12.57	0.74
Gene00321	0	0
Gene00322	0	0
Gene00323	0	0
Gene00324	1	0.92
Gene00325	47	7.7
Gene00326	38	6.32
Gene00327	0	0
Gene00328	152.37	6.22
Gene00329	5	1.18
Gene00330	9	4.09
Gene00331	0	0
Gene00332	0	0
Gene00333	0	0
Gene00334	11.42	1.66
Gene00335	0	0
Gene00336	0	0
Gene00337	9	1.25
Gene00338	5	0.18
Gene00339	0	0
Gene00340	0	0
Gene00341	0	0
Gene00342	7	5.58
Gene00343	12.81	3.15
Gene00344	0	0
Gene00345	83.5	3.02
Gene00346	0	0
Gene00347	0	0
Gene00348	0	0
Gene00349	0	0
Gene00350	0	0
Gene00351	0	0
Gene00352	0	0
Gene00353	0	0
Gene00354	0	0
Gene00355	3.37	0.82
Gene00356	22.63	3.17
Gene00357	10	2.06
Gene00358	13	2.87
Gene00359	24.33	9.2
Gene00360	3.67	3.98
Gene00361	0	0
Gene00362	0	0
Gene00363	0	0
Gene00364	183.89	2.99
Gene00365	178.91	9.08
Gene00366	0	0
Gene00367	0	0
Gene00368	236	34.57
Gene00369	3	0.23
Gene00370	0	0
Gene00371	371	33.52
Gene00372	33	10.04
Gene00373	32	19.05
Gene00374	203	6.68
Gene00375	3.06	0.81
Gene00376	5.94	1.09
Gene00377	2.67	0.49
Gene00378	21	2.03
Gene00379	23	10.11
Gene00380	736.57	46.91
Gene00381	0	0
Gene00382	0	0
Gene00383	3804	94.88
Gene00384	144	13.97
Gene00385	544	16.3
Gene00386	47	7.95
Gene00387	16	1.99
Gene00388	464	71.86
Gene00389	777	49.55
Gene00390	387.75	42.69
Gene00391	5.09	0.9
Gene00392	5.09	0.9
Gene00393	10	0.25
Gene00394	0	0
Gene00395	0	0
Gene00396	502	11.06
Gene00397	78	20.61
Gene00398	357	29.6
Gene00399	103	11.36
Gene00400	32	1.7
Gene00401	0.19	0.13
Gene00402	23.63	1.33
Gene00403	6.55	1.37
Gene00404	0	0
Gene00405	4	13.13
Gene00406	0	0
Gene00407	0	0
Gene00408	0	0
Gene00409	1059	34.01
Gene00410	4347	172.89
Gene00411	9	5.09
Gene00412	46	2.22
Gene00413	0	0
Gene00414	112.19	4.04
Gene00415	14	2.49
Gene00416	17	2.29
Gene00417	30	9.87
Gene00418	56	11.65
Gene00419	0	0
Gene00420	400	24.68
Gene00421	0	0
Gene00422	400.55	14.3
Gene00423	527.45	10.93
Gene00424	0	0
Gene00425	31	1.42
Gene00426	0	0
Gene00427	132	8.22
Gene00428	0	0
Gene00429	80	17.41
Gene00430	128	10.79
Gene00431	4	0.22
Gene00432	4	1.51
Gene00433	1029	17.81
Gene00434	318.17	17.85
Gene00435	0	0
Gene00436	121.83	17.95
Gene00437	0	0
Gene00438	1	0.16
Gene00439	0	0
Gene00440	208	18.31
Gene00441	1	0.39
Gene00442	636	27.39
Gene00443	41	1.66
Gene00444	412	19.35
Gene00445	0	0
Gene00446	64	8.33
Gene00447	21.33	1.86
Gene00448	6.25	0.29
Gene00449	143	38.97
Gene00450	693	22.25
Gene00451	15	2.32
Gene00452	51	3.92
Gene00453	0	0
Gene00454	61.72	5.55
Gene00455	93.28	10.14
Gene00456	15	3.21
Gene00457	205	12.65
Gene00458	84	20.06
Gene00459	1	0.38
Gene00460	0	0
Gene00461	0	0
Gene00462	0	0
Gene00463	0	0
Gene00464	0	0
Gene00465	111	10.89
Gene00466	82	15.33
Gene00467	91	22.34
Gene00468	0	0
Gene00469	583	34.92
Gene00470	0	0
Gene00471	0	0
Gene00472	2.77	0.47
Gene00473	78	11.2
Gene00474	0	0
Gene00475	33	21.66
Gene00476	336	49.36
Gene00477	96	20.38
Gene00478	91	3.41
Gene00479	0	0
Gene00480	528	14.93
Gene00481	0	0
Gene00482	62	3.26
Gene00483	185	38.18
Gene00484	60	9.46
Gene00485	22	5.33
Gene00486	77	11.44
Gene00487	0	0
Gene00488	0	0
Gene00489	0	0
Gene00490	23	1.86
Gene00491	445	56.22
Gene00492	145	11.91
Gene00493	30	1.93
Gene00494	0	0
Gene00495	9.01	3.99
Gene00496	3298.09	39.49
Gene00497	353.11	27.54
Gene00498	15	1.65
Gene00499	34	10.85
Gene00500	7	1.94
Gene00501	61	4.52
Gene00502	0	0
Gene00503	47	8.6
Gene00504	456	25.44
Gene00505	0	0
Gene00506	0	0
Gene00507	192	9.3
Gene00508	0	0
Gene00509	0	0
Gene00510	86	11.55
Gene00511	0	0
Gene00512	16	1.1
Gene00513	661	56.44
Gene00514	0	0
Gene00515	83	11.41
Gene00516	6	1.48
Gene00517	10	1.5
Gene00518	3	1.93
Gene00519	98	10.72
Gene00520	0	0
Gene00521	10	1.77
Gene00522	0	0
Gene00523	1	0.08
