GeneID	ExpectedReadCount	TPM
Gene00282	1.39	0.07
Gene00283	0	0
Gene00284	0	0
Gene00285	0	0
Gene00286	2.96	1.9
Gene00287	0	0
Gene00288	11	4.04
Gene00289	0	0
Gene00290	1.13	0.33
Gene00291	0	0
Gene00292	1	0.25
Gene00293	0	0
Gene00294	17.17	17.5
Gene00295	0	0
Gene00296	344	99.99
Gene00297	0	0
Gene00298	4	0.47
Gene00299	0	0
Gene00300	0	0
Gene00301	0	0
Gene00302	5.21	1.13
Gene00303	0	0
Gene00304	0	0
Gene00305	0	0
Gene00306	0	0
Gene00307	0	0
Gene00308	0	0
Gene00309	1	0.07
Gene00310	0	0
Gene00311	7.32	1.55
Gene00312	6.5	7.74
Gene00313	0	0
Gene00314	0	0
Gene00315	0	0
Gene00316	0.5	1.07
Gene00317	0	0
Gene00318	0	0
Gene00319	4.53	0.71
Gene00320	4.47	0.4
Gene00321	3.75	0.65
Gene00322	0	0
Gene00323	0	0
Gene00324	0	0
Gene00325	27	6.88
Gene00326	28	7.26
Gene00327	0	0
Gene00328	89.84	5.63
Gene00329	1	0.37
Gene00330	1	0.72
Gene00331	6.5	1.22
Gene00332	0	0
Gene00333	20.16	4.29
Gene00334	12.97	2.93
Gene00335	0	0
Gene00336	0	0
Gene00337	3	0.65
Gene00338	4	0.22
Gene00339	0	0
Gene00340	0	0
Gene00341	0	0
Gene00342	1	1.29
Gene00343	10	3.85
Gene00344	0.92	1.24
Gene00345	46.04	2.55
Gene00346	0	0
Gene00347	0	0
Gene00348	0	0
Gene00349	0	0
Gene00350	0	0
Gene00351	0	0
Gene00352	1	3.48
Gene00353	0	0
Gene00354	0	0
Gene00355	3.88	1.48
Gene00356	22.12	4.81
Gene00357	14	4.5
Gene00358	8	2.76
Gene00359	16.59	9.95
Gene00360	4.41	7.78
Gene00361	1.6	0.27
Gene00362	0	0
Gene00363	0	0
Gene00364	73	1.82
Gene00365	95.43	7.44
Gene00366	0	0
Gene00367	0	0
Gene00368	166	37.78
Gene00369	1	0.12
Gene00370	0	0
Gene00371	337	47
Gene00372	18	8.64
Gene00373	16	15.28
Gene00374	124	6.26
