GeneID	ExpectedReadCount	TPM
Gene00282	0	0
Gene00283	0	0
Gene00284	2	0.77
Gene00285	0	0
Gene00286	5.58	2.48
Gene00287	0	0
Gene00288	25	6.42
Gene00289	0	0
Gene00290	5.39	1.08
Gene00291	0	0
Gene00292	0	0
Gene00293	0	0
Gene00294	192.08	134.96
Gene00295	11.4	3.9
Gene00296	1517.48	309.35
Gene00297	0	0
Gene00298	8	0.67
Gene00299	0	0
Gene00300	0	0
Gene00301	10.87	1.58
Gene00302	0	0
Gene00303	0	0
Gene00304	0	0
Gene00305	0	0
Gene00306	1	0.25
Gene00307	0	0
Gene00308	0	0
Gene00309	0	0
Gene00310	0	0
Gene00311	31.84	4.75
Gene00312	60	49.17
Gene00313	9.39	1.21
Gene00314	1.97	0.29
Gene00315	0.56	0.83
Gene00316	1.79	2.65
Gene00317	0.77	0.12
Gene00318	0.85	1.8
Gene00319	0	0
Gene00320	6.31	0.4
Gene00321	7.36	0.89
Gene00322	0	0
Gene00323	0	0
Gene00324	0	0
Gene00325	41	7.34
Gene00326	30	5.46
Gene00327	0	0
Gene00328	130.41	5.8
Gene00329	10	2.58
Gene00330	5	2.51
Gene00331	25.5	3.37
Gene00332	0	0
Gene00333	0	0
Gene00334	2.24	0.36
Gene00335	0	0
Gene00336	0	0
Gene00337	6	0.91
Gene00338	3	0.12
Gene00339	0	0
Gene00340	0	0
Gene00341	0	0
Gene00342	7	6.2
Gene00343	16.47	4.43
Gene00344	1.71	1.58
Gene00345	144.15	5.68
Gene00346	0	0
Gene00347	0	0
Gene00348	0	0
Gene00349	0	0
Gene00350	0	0
Gene00351	0	0
Gene00352	1	2.42
Gene00353	0	0
Gene00354	0	0
Gene00355	9.45	2.52
Gene00356	43.55	6.67
Gene00357	14	3.15
Gene00358	7	1.69
Gene00359	27	11.23
Gene00360	0	0
Gene00361	0	0
Gene00362	0	0
Gene00363	0	0
Gene00364	204	3.61
Gene00365	149.15	8.24
Gene00366	0	0
Gene00367	0	0
Gene00368	205	32.83
Gene00369	0	0
Gene00370	0	0
Gene00371	364	35.88
Gene00372	33	11.03
Gene00373	16	10.53
Gene00374	177	6.34
Gene00375	0	0
Gene00376	5	1
Gene00377	2	0.4
Gene00378	12	1.26
Gene00379	21	10.18
Gene00380	775.68	53.85
Gene00381	1	0.17
Gene00382	0	0
Gene00383	3419	92.84
Gene00384	108	11.43
Gene00385	606	19.77
Gene00386	35	6.48
Gene00387	21	2.86
Gene00388	344	58.25
Gene00389	679	47.2
Gene00390	340.84	40.97
Gene00391	1.66	0.32
Gene00392	1.66	0.32
Gene00393	26	0.7
Gene00394	0	0
Gene00395	0	0
Gene00396	610	14.62
Gene00397	69	20
Gene00398	324	29.3
Gene00399	90	10.84
Gene00400	25	1.45
Gene00401	4.19	3.08
Gene00402	30.4	1.86
Gene00403	0	0
Gene00404	0	0
Gene00405	3	11.32
Gene00406	0	0
Gene00407	0	0
Gene00408	0	0
Gene00409	961	33.61
Gene00410	2830	122.6
Gene00411	9	5.63
Gene00412	47	2.48
Gene00413	0	0
Gene00414	17.76	0.7
Gene00415	9	1.75
Gene00416	11	1.62
Gene00417	40	14.46
Gene00418	67	15.27
Gene00419	1	11.03
Gene00420	342	23
Gene00421	4	4.14
Gene00422	346.23	13.46
Gene00423	364.77	8.23
Gene00424	0	0
Gene00425	19	0.95
Gene00426	0	0
Gene00427	178	12.09
Gene00428	1	0.26
Gene00429	121	28.86
Gene00430	124	11.4
Gene00431	3	0.18
Gene00432	5	2.08
Gene00433	821	15.46
Gene00434	389.57	23.82
Gene00435	0	0
Gene00436	99.43	16.01
Gene00437	0	0
Gene00438	1	0.18
Gene00439	0	0
